complaint_text,category,subcategory,department,urgency
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,Medium
Damaged lane surface near MG Road,Road,Potholes,Public Works Department,Medium
Blocked manhole in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Pipeline leaking on highway at Civil Lines,Water,Leakage,Water Supply Department,High
Damaged highway surface near MG Road,Road,Potholes,Public Works Department,Low
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Damaged highway surface near Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Exposed live wire near Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
No electricity supply since morning in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Pipeline leaking on highway at Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Public toilet in Sanjay Nagar not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Medium
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,Medium
No water in public toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Medium
Broken footpath in Old Market,Road,Footpath,Urban Development Department,Low
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Severe water leakage in Rajiv Chowk,Water,Leakage,Water Supply Department,Medium
Uneven lane causing accidents at Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Signal cracked at MG Road junction,Road,TrafficSignal,Traffic Management Department,Medium
Foul smell from toilet at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Medium
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Medium
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Damaged highway surface near Old Market,Road,Potholes,Public Works Department,Low
Uneven road causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Uneven road causing accidents at Old Market,Road,Potholes,Public Works Department,Medium
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Traffic signal not working at MG Road,Road,TrafficSignal,Traffic Management Department,High
Lamp post cracked in MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Defective traffic signal in Sector 15,Road,TrafficSignal,Traffic Management Department,High
Large potholes on Rajiv Chowk road,Road,Potholes,Public Works Department,Medium
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Drain blocked and water pooling at Old Market,Water,Waterlogging,Drainage Department,Low
Foul smell from toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Complete blackout at Old Market,Electricity,PowerCut,Electricity Distribution Department,Medium
Pipeline leaking on highway at Civil Lines,Water,Leakage,Water Supply Department,High
Sewage water overflowing at Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Loose electrical cables in Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Unsafe sidewalk at Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Medium
Clogged drain near Sanjay Nagar,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,Medium
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Multiple potholes in Civil Lines,Road,Potholes,Public Works Department,Low
Broken electric wires lying in Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
Open sewage causing bad smell in Sanjay Nagar,Sanitation,Sewage,Drainage and Sewerage Department,High
Dark area due to faulty streetlights at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Medium
No water in public toilet at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Large potholes on MG Road street,Road,Potholes,Public Works Department,Medium
Pipeline leaking on lane at Sanjay Nagar,Water,Leakage,Water Supply Department,High
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Pipeline leaking on lane at Sector 15,Water,Leakage,Water Supply Department,Medium
Large potholes on Civil Lines street,Road,Potholes,Public Works Department,Medium
Underground pipe burst at Old Market,Water,Leakage,Water Supply Department,High
Uneven road causing accidents at MG Road,Road,Potholes,Public Works Department,Low
Signal cracked at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Large potholes on Civil Lines street,Road,Potholes,Public Works Department,Medium
Open sewage causing bad smell in Old Market,Sanitation,Sewage,Drainage and Sewerage Department,High
Trash scattered around Sector 15,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,High
Sewage water overflowing at Civil Lines,Sanitation,Sewage,Drainage and Sewerage Department,High
Large potholes on MG Road street,Road,Potholes,Public Works Department,Low
Pipeline leaking on road at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Dirty tap water with foul smell in Old Market,Water,Quality,Water Quality Department,Medium
No water in public toilet at Sector 15,Sanitation,PublicToilet,Public Health Department,Medium
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Broken pipeline flooding Civil Lines,Water,Leakage,Water Supply Department,Medium
Exposed live wire near Old Market,Electricity,Wiring,Electrical Safety Department,High
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Medium
Flickering light pole at Sector 15,Electricity,Streetlight,Municipal Lighting Department,Medium
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Low
Lamp post broken in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Medium
Damaged highway surface near Sector 15,Road,Potholes,Public Works Department,Medium
Water not safe for drinking in Sector 15,Water,Quality,Water Quality Department,High
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Medium
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Brown water supply in Sector 15,Water,Quality,Water Quality Department,Medium
Signal broken at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,High
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Multiple potholes in Old Market,Road,Potholes,Public Works Department,Medium
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Medium
Uneven street causing accidents at Sector 15,Road,Potholes,Public Works Department,Low
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Pipeline leaking on road at MG Road,Water,Leakage,Water Supply Department,High
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Unsafe sidewalk at Sector 15,Road,Footpath,Urban Development Department,Low
Flickering light pole at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Medium
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Dark area due to faulty streetlights at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Large potholes on MG Road lane,Road,Potholes,Public Works Department,Medium
Blocked manhole in Civil Lines,Sanitation,Sewage,Drainage and Sewerage Department,High
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Uneven road causing accidents at Sector 15,Road,Potholes,Public Works Department,Medium
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Signal damaged at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
Unsafe sidewalk at Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Signal broken at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,Medium
Signal faulty at Civil Lines junction,Road,TrafficSignal,Traffic Management Department,High
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Low
Defective traffic signal in Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,High
Uneven highway causing accidents at Civil Lines,Road,Potholes,Public Works Department,Medium
Signal damaged at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
Unsafe sidewalk at MG Road,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Uneven lane causing accidents at Sector 15,Road,Potholes,Public Works Department,Medium
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,High
Large potholes on Old Market highway,Road,Potholes,Public Works Department,Medium
Defective traffic signal in Sector 15,Road,TrafficSignal,Traffic Management Department,Medium
Damaged highway surface near Sanjay Nagar,Road,Potholes,Public Works Department,Low
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Damaged lane surface near Sanjay Nagar,Road,Potholes,Public Works Department,Low
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Pipeline leaking on road at MG Road,Water,Leakage,Water Supply Department,Medium
Garbage not collected at Rajiv Chowk for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Brown water supply in Rajiv Chowk,Water,Quality,Water Quality Department,Medium
No electricity supply since morning in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,Medium
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Medium
Dark area due to faulty streetlights at Sanjay Nagar,Electricity,Streetlight,Municipal Lighting Department,Low
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,Medium
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,High
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Sewage water overflowing at MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Drain blocked and water pooling at MG Road,Water,Waterlogging,Drainage Department,Low
